n,SHR,Vp,Is50,UCS
0.44,38,6450,2.87,132.21
0.87,32.4,6112,7.23,50.34
0.4,46.3,5993,3.93,120.3
0.15,52,6148,3.89,166.3
0.32,54,6790,5.59,135.09
0.25,52.55,6074,4.49,150.32
0.23,46,5920,1.82,215.21
0.37,52,6503,3.12,170.94
0.4,52.17,5172,4.03,100
0.47,44,4780,2.4,120.9
0.33,56,5040,4.65,92.32
0.42,43.46,5820,3.17,145
0.15,57,6102,4.56,143.21
0.22,49,6430,2.99,195
0.5,37.76,5116,1.52,170.9
0.4,56,5020,3.01,77.3
0.47,51,5715,4.88,111
0.54,45.36,5675,3.07,128
0.2,52,6910,7.1,114.54
0.57,40,4233,1.21,95.87
0.53,43.46,5882,3.27,125
0.42,47,5025,1.73,130.33
0.25,56.7,5491,6.93,125
0.2,58.59,6250,7.42,135.21
0.37,49,4910,3.79,103.23
0.28,60.48,5566,6.92,117.45
0.42,41.25,5850,3.47,137
0.4,47,4670,3.34,92.12
0.28,45.36,6188,3.58,155.36
0.35,54.18,6145,4.85,124.3
0.41,45,6190,3.14,150.05
0.32,35.67,6024,3.24,114.23
0.5,33.95,5321,1.15,174.2
0.4,48,4568,2.45,81.05
0.7,44.18,6190,8.9,83.43
0.29,46.3,6145,6.06,115.89
0.43,57,5785,1.98,112.32
1.78,42,5052,8.78,55.98
0.31,43.08,6043,4.25,140
0.15,57,7002,4.97,163.3
14.3,30.98,4188,2.92,37.67
0.24,55.76,6179,6.63,132.62
0.43,45,7310,1.45,209
0.25,45,5950,3.12,175.43
0.57,50,4490,1.67,52.1
0.37,49,6635,2.02,200.23
0.42,52,6848,3.56,152.3
0.55,42,4230,1.31,87.54
0.44,50,7608,2.51,185.21
0.49,49,5270,3.89,99
0.48,39,4003,1.02,112.93
0.4,53,6080,3.23,149.05
3.84,55.95,4441,8.38,80
0.5,46,4480,1.33,90.02
0.42,58,6620,3.21,155.9
8.35,49.14,4219,6.21,60.55
0.51,48,4108,1.34,59.32
0.39,46,4432,2.89,83.95
6.1,31.47,5521,7.79,44.78
0.47,46,5250,2.78,132.02
0.45,50,4922,2.44,84.09
1.73,42.29,5875,3.63,30.56
0.45,48,4876,3.23,95.34
0.43,54,5380,3.49,95
3.1,31.31,5445,6.56,35.46
0.5,37,5463,4.23,95.32
0.19,57,7433,5.23,155.67
2.89,51.79,4672,6.75,58.98
0.48,44,5520,4.02,110.82
0.39,46,5545,4.11,122.38
14.5,30.89,2725,1.98,17.33
0.5,53,5109,3.67,80.32
0.44,42,4955,3.21,120.02
15.3,25.89,2786,1.33,12.01
0.51,47,4659,2.89,77.68
0.1,60,7850,6.12,155.32
3.08,58.59,4624,9.08,80.87
3.35,27.42,5660,3,23.12
0.22,49,5988,4.92,140.43
10.9,41.09,3169,3.7,39.24
8.14,30.13,5090,3.63,37.89
0.36,48,4615,3.34,92.1
4.52,54.18,4522,9.59,89.54
2.24,25.75,5810,3.1,28.33
0.12,61,7943,6.54,154.3
0.39,47,5506,2.31,155
9.76,27.38,5350,3.39,43.46
0.11,56,5980,5.86,140.32
0.16,51,5217,6.22,125
4.5,26,5590,3.16,24.32
0.28,59,6005,4.78,120
0.46,50,5345,1.93,125
8.32,29.75,5250,4.01,37.65
0.3,53,6125,2.25,176.4
0.36,43,4320,1.41,116
9.45,29.13,5390,3.74,41.51
0.18,51,6555,3.13,190.32
9.35,27.38,5380,2.86,37.48
9.22,26.88,5230,3.08,35.67
0.29,45,6120,4.15,144
9.64,27.63,4820,2.54,38.19
7.42,28,5400,3.6,32.35
0.18,58,6895,5.29,154.3
2.93,26.75,5670,2.26,25.67
3.95,26.5,5730,3.02,24.18
0.19,56,6615,5.38,148
9.51,30.5,5050,2.63,32.95
6.38,29.63,5100,3.36,35.67
0.2,58,6709,4.33,160
8.98,27.63,5090,3.32,38.34
9.28,27.5,5520,3.3,40.13
0.28,51,6301,5.02,141.7
3.49,27.38,5790,3.02,25.37
3.97,27.38,5490,3.52,25.98
0.3,57,6150,3.22,143.9
0.15,66.51,6047,9.92,138
4.89,26.63,5420,2.91,25.12
0.51,40,2823,1.02,35
0.35,55.76,5428,7.85,115
3.78,30.3,5510,3.06,23.11
0.56,37,3065,0.91,42
14.75,42.51,2830,2.57,27.61
0.97,25.63,5450,3.89,29.05
0.54,43,4635,1.39,113.9
8.72,51.03,3474,4.36,66.9
7.99,28.63,5020,3.32,35.68
0.06,65.38,6214,11.3,158.02
0.47,35.52,6419,2.12,140.3
6.66,29.88,4840,2.61,30.13
0.14,61.8,5729,9.23,144.2
4.82,36.6,5154,6.89,45
8.93,29.25,5400,3.26,38.98
0.22,57.64,6030,9.72,132.45
3.83,29.31,4865,1,32.1
9.13,26.25,5190,3.87,39.13
0.4,52.92,5384,5.66,112.4
9.74,27.02,4149,5.44,51.2
9.29,28.25,5130,3.17,35.66
0.48,52,5643,2.75,122
1.54,34.96,5980,0.86,69.7
10.2,28.88,5090,2.92,37.43
0.25,58,6080,5.21,130.2
0.8,44.09,6768,5.9,52.1
0.28,55.38,5865,8.35,122.21
0.31,55,4978,3.72,93.8
0.8,34.21,6052,7.03,61.87
0.21,65.38,5836,10.85,135.87
0.52,38,3268,0.89,48.08
10.1,25.46,2977,2.24,35.61
0.15,64.43,5945,10.02,132.21
0.47,51,4530,2.43,62.1
8.39,51.22,3935,5.8,69.2
0.18,65.57,5905,11.73,145.87
2.11,26.13,5540,2.73,30.6
12.14,35.86,3389,4.5,40.02
0.12,67.07,6250,14.13,180.41
3.48,27.63,5670,2.98,24.32
10.69,30.32,2795,1.25,18.39
0.19,60.48,6030,10.63,148.34
0.46,46.3,5445,3.48,125
14.67,33.38,2985,2.99,23.45
0.22,58.59,5753,8.49,134.76
0.5,31.66,5685,2.45,100.09
8.44,52.29,3508,4.47,70.83
0.31,58.59,5422,7.87,102.32
0.43,49.14,5882,2.96,151.3
7.23,46.3,3658,3.31,44
0.27,57.64,5514,8.41,123.89
16.8,32.08,4574,6.48,73.02
14.64,36.05,2994,2.76,25.9
10.27,28.88,5090,2.92,29.91
0.4,62,6750,8.6,239
0.44,63,5750,7.3,210
1.13,60,5690,4.1,163
0.16,56,5180,4,160
1.18,57,4760,3.9,143
4.41,57,5570,4,131
0.35,60,6000,3,127
2.32,52,4750,3.3,122
0.66,59,5840,2.2,112
2.39,55,4580,2.6,111
0.98,50,4710,1.7,72
6.25,48,3480,1.5,70
4.17,46,4500,1.7,62
12.37,41,3210,1.6,56
19.35,26,3120,1.2,37
24.44,22,2540,1.2,23
24.21,21,2370,1.1,18
35.21,18,1870,0.9,6.8
37.81,17,1470,0.9,6.2
0.21,61,7293,7.13,112.37
0.17,63,7356,8.99,131.36
0.19,61,7410,8.27,96.23
0.24,60,7132,6.89,71.12
0.2,62,7355,8.49,122.85
0.17,63,7616,9.14,136.34
0.26,59,7048,7.5,65.21
0.19,62,7587,7.64,112.36
0.24,59,7297,6.42,79.31
0.14,64,7703,7.27,172.35
0.23,60,7277,5.93,135.61
0.23,60,7122,7.09,74.44
0.26,59,7137,5.42,84.98
0.08,65,7961,11.44,188.82
0.07,64,7955,10.63,179.61
0.09,64,7975,10.28,197.44
0.14,62,7418,7.57,105.43
0.08,65,7910,10.6,185.6
0.14,62,7568,7.64,148.89
0.09,64,7733,10.14,178.15
0.08,64,7978,10.42,185.17
0.21,62,7384,5.84,156.06
0.08,65,7981,12.82,241.56
0.06,64,7923,11.21,189.14
0.08,65,7973,10.17,201.81
0.11,65,7853,10.14,198.71
0.07,65,7972,11.93,205.39
0.25,62,7339,6.14,138.64
0.23,61,7311,6.34,121.34
0.25,61,7298,7.41,131.6
0.13,64,7551,8.95,107.75
0.09,64,7770,10.53,183.47
0.16,63,7463,9.27,117.41
0.18,63,7322,8.27,92.35
0.1,63,7370,8.14,123.58
0.62,69,5390,11.02,158.16
0.89,64,5440,8.08,125.28
0.77,68,5740,8.44,129.04
0.7,67,6310,9.2,142.4
1.07,65,4740,7.25,109.17
1.03,66,4930,8.12,121.28
0.18,67,6370,10.58,165.79
0.28,72,6360,12.53,193.33
0.61,69,6210,11.33,173.4
0.47,70,5980,11.54,170.56
0.14,69,6690,11.83,175.49
0.55,70,6430,10.45,159.52
0.67,65,5510,8.67,129.6
0.7,67,5690,9.65,150.08
0.54,71,5860,11.52,175.84
0.52,68,5840,10.77,157.62
0.57,65,5570,9.15,136.32
0.6,72,6220,11.03,177.52
0.5,71,6440,11.52,178.56
3.65,20.3,1761,2.36,20.3
4.28,36.1,3824,2.42,22.8
2.08,28.1,2598,1.75,23.1
1.72,46.2,3797,2.01,25
6.13,23.6,2559,1.08,25
7.23,16.8,2611,1.37,25.8
6.63,33.6,2909,3.11,26.3
3.02,37.4,3492,2.31,27.6
1.54,34.2,2778,1.81,28.2
1.17,48.5,2800,5.23,30.8
3.2,38.5,3477,4.25,33.8
2.54,33.4,2390,4.63,34.2
3.92,44.6,3713,4.87,36.6
2.38,38.5,3565,4.84,36.8
1.7,37.6,3679,3.25,37.4
1.17,49.3,3000,3.38,37.8
6.04,32.4,3669,2.68,38.1
1.85,49,2583,4.34,38.3
1.7,34.6,4339,4.83,38.9
2.44,32.2,4820,2.36,39.3
2.64,43.8,4532,3.96,40
4.93,44.1,3709,4.61,40.1
5.4,37.4,4082,3.38,40.9
5.61,37.1,3960,2.37,41
3.51,32.1,3623,3.6,41
4.76,42,3491,3.9,41.9
1.56,28.8,4738,5.48,42.7
1.92,34.7,3885,1.46,43.2
3.26,36.5,5011,2.17,43.2
1.96,35.1,3752,4.22,44.7
2.47,40.7,4270,4.5,44.8
5.5,38,3722,4.41,45.3
0.79,50.3,4209,3.25,45.5
1.33,40,4196,2.99,45.7
2.91,40.9,4146,4.44,45.7
0.96,43.4,4262,2.8,46.2
1.15,45.5,4025,5.05,46.4
2.83,39,3897,3.98,46.4
0.83,46,4186,4.28,46.6
1.84,42,4299,3.21,47.2
1.4,48.6,3704,6.51,47.5
1.2,42.9,3758,5.02,48.3
4.14,36.6,4386,5.75,48.9
1.95,43,5322,4.32,48.9
4.19,32.2,4128,4.79,49.4
2.88,42.9,4653,2.7,49.6
2.81,39,4637,3.5,50.2
0.78,47.1,3612,5.38,50.3
2.93,44.2,3785,4.85,50.4
2.11,45.9,4318,6.19,50.4
2.49,37.9,4856,4.51,50.7
2.11,45.6,4531,5.04,51.4
2.19,50.4,4695,5.44,51.7
2.38,49.4,4901,4.13,52
1.49,42.2,4980,2.9,52.8
2.37,42.6,4833,5.02,52.8
0.98,48.6,4139,3.35,53.5
2.39,42.6,3996,5.63,54.3
1.94,47.7,3975,5.68,55.1
3.95,39.2,4298,3.39,55.1
1.69,48.9,4628,5.36,55.7
0.74,54.5,3453,6.55,57
0.74,52.7,4545,5.17,57.4
0.67,53.1,4660,3.7,58.3
0.99,53.6,4289,8.19,60.3
1.43,51.8,4587,4.91,61.4
0.98,51.2,4528,6.47,61.7
1.45,55.3,4333,5.4,62.3
1.56,47.1,4920,6.35,62.5
1.19,45.4,4772,4.07,62.8
1.61,50.8,5184,6.22,64.6
1.12,49,4809,7.12,65
1.6,48.9,5202,4.83,66.5
1.5,42.5,5282,5.84,69.8
0.64,56.3,4714,7,70.2
1.21,43.8,5154,4.53,71.6
1.55,49.7,4571,7.85,71.9
0.64,53.4,4989,5.62,72.1
1.19,42.3,5661,5.11,72.9
1.2,45.9,5281,5.83,77.4
0.75,50.4,4819,6.24,78
0.87,50.1,5367,7.78,81.9
0.64,56.5,4993,6.4,85.4
0.83,44.9,4875,7.4,86.3
0.86,50.8,4960,7.95,91
1.54,27.1,2780,1.84,20.5
6.26,30.8,2519,2.17,22.5
2.04,39.5,1160,2.07,20.6
1.26,45.6,2915,1.78,25.9
0.93,44.3,4811,3.39,40
0.99,37.3,4801,1.9,30.2
6.31,34.6,3422,3.8,30.5
1.97,36.2,3732,2.13,32
4.38,35,2100,3.97,37.1
5.43,31.9,3349,2.75,34.2
1.15,46.2,4816,3.87,70.2
3.55,43.5,3916,4.51,37.2
2.34,31.3,3560,3.21,40.4
1.74,40.3,4611,3.96,62.8
2.29,40,3628,4.25,44.1
1.13,45.5,4363,5.23,45.6
2.31,40.9,4397,5.44,66.6
1.39,43.6,4944,4.29,49.8
1.31,40.8,4354,6.31,51.8
1.08,43.5,4560,4.22,55.7
3.75,37.6,4622,5.18,65.9
2.2,45.6,4379,5.66,56.7
2.05,42,5082,4.94,60.3
0.98,50.7,3786,5.88,60.7
1.68,42.5,4875,7.09,61.3
1.58,48.3,4650,5.61,62.3
1.26,41.9,4544,6.2,64.4
1.09,49.7,4759,6.85,65.6
1.06,48.9,5466,5.63,67.2
1.12,49.2,5411,7.48,76.2
